descripcion,categoria,monto,descripcion_limpia
pago con tarjeta en hipoteca,Vivienda,907.17,pago con tarjeta en hipoteca
pago con tarjeta en hipoteca,Vivienda,990.99,pago con tarjeta en hipoteca
pago hipoteca,Vivienda,2318.63,pago hipoteca
hipoteca,Vivienda,3504.17,hipoteca
$hipoteca,Vivienda,4556.19,hipoteca
Hipoteca,Vivienda,5000.00,hipoteca
remodelacion de hogar,Vivienda,15000.00,remodelacion de hogar
remodelacion de casa,Vivienda,12000.00,remodelacion de casa
remodelacion de departamento,Vivienda,10000.00,remodelacion de departamento
decoracion para el hogar,Vivienda,2000.00,decoracion para el hogar
decoracion de casa,Vivienda,1800.00,decoracion de casa
decoracion de interiores,Vivienda,1500.00,decoracion de interiores
televisor,Vivienda,5000.00,televisor
compra de televisor,Vivienda,4500.00,compra de televisor
television,Vivienda,4800.00,television
TV,Vivienda,4200.00,tv
smart tv,Vivienda,5500.00,smart tv
pantalla de tv,Vivienda,3500.00,pantalla de tv
muebles de sala,Vivienda,3000.00,muebles de sala
muebles de comedor,Vivienda,2500.00,muebles de comedor
muebles de recamara,Vivienda,2800.00,muebles de recamara
cortinas,Vivienda,800.00,cortinas
alfombras,Vivienda,600.00,alfombras
lamparas,Vivienda,400.00,lamparas
cuadros decorativos,Vivienda,300.00,cuadros decorativos
espejos decorativos,Vivienda,500.00,espejos decorativos
plantas de interior,Vivienda,200.00,plantas de interior
macetas,Vivienda,150.00,macetas
jardineria,Vivienda,1000.00,jardineria
jardin,Vivienda,3100.00,jardin
pintura de casa,Vivienda,4000.00,pintura de casa
pintura de paredes,Vivienda,3000.00,pintura de paredes
mano de obra para remodelacion,Vivienda,5000.00,mano de obra para remodelacion
plomero,Vivienda, 800.00,plomero
electricista,Vivienda, 700.00,electricista
carpintero,Vivienda, 600.00,carpintero
albanil,Vivienda, 1000.00,albanil
albañil,Vivienda, 1050.00,albanil
pago con tarjeta en agua,Vivienda,1927.38,pago con tarjeta en agua
compra agua,Vivienda,1040.94,compra agua
$agua,Vivienda,3420.84,agua
Agua,Vivienda,1960.64,agua
*agua*,Vivienda,3035.48,agua
LUZ,Vivienda,2248.51,luz
pago con tarjeta en luz,Vivienda,3184.18,pago con tarjeta en luz
compra luz,Vivienda,2499.89,compra luz
$luz,Vivienda,829.38,luz
LUZ,Vivienda,1258.0,luz
pago CFE,Vivienda,2585.72,pago cfe
CFE,Vivienda,2940.64,cfe
COMPRA EN CFE,Vivienda,2835.87,compra en cfe
$CFE,Vivienda,4614.06,cfe
pago con tarjeta en CFE,Vivienda,2210.88,pago con tarjeta en cfe
pago gas,Vivienda,2869.81,pago gas
gas,Vivienda,3235.57,gas
*gas*,Vivienda,4158.44,gas
pago gas,Vivienda,3719.71,pago gas
Gas,Vivienda,1381.0,gas
*internet*,Vivienda,4535.21,internet
Internet,Vivienda,4541.14,internet
pago con tarjeta en internet,Vivienda,3446.12,pago con tarjeta en internet
INTERNET,Vivienda,771.2,internet
Internet,Vivienda,2656.32,internet
TELEFONO,Vivienda,956.39,telefono
telefono,Vivienda,1655.49,telefono
telefono,Vivienda,3515.43,telefono
TELEFONO,Vivienda,3114.19,telefono
telefono,Vivienda,3729.36,telefono
pago mantenimiento,Vivienda,1726.81,pago mantenimiento
mantenimiento,Vivienda,4204.28,mantenimiento
*mantenimiento*,Vivienda,3565.03,mantenimiento
*mantenimiento*,Vivienda,2863.24,mantenimiento
*mantenimiento*,Vivienda,1828.75,mantenimiento
compra reparacion,Vivienda,3052.9,compra reparacion
COMPRA EN REPARACION,Vivienda,4833.17,compra en reparacion
reparacion,Vivienda,891.68,reparacion
$reparacion,Vivienda,2976.02,reparacion
COMPRA EN REPARACION,Vivienda,2869.25,compra en reparacion
*plomeria*,Vivienda,3370.93,plomeria
Plomeria,Vivienda,4478.93,plomeria
pago con tarjeta en plomeria,Vivienda,4071.85,pago con tarjeta en plomeria
COMPRA EN PLOMERIA,Vivienda,2349.63,compra en plomeria
COMPRA EN PLOMERIA,Vivienda,3964.75,compra en plomeria
compra electricidad,Vivienda,1565.92,compra electricidad
Electricidad,Vivienda,1859.27,electricidad
COMPRA EN ELECTRICIDAD,Vivienda,4201.76,compra en electricidad
*electricidad*,Vivienda,3503.97,electricidad
pago electricidad,Vivienda,3949.95,pago electricidad
compra pintura,Vivienda,2407.75,compra pintura
Pintura,Vivienda,1256.06,pintura
PINTURA,Vivienda,4411.67,pintura
compra pintura,Vivienda,1475.33,compra pintura
compra pintura,Vivienda,1303.01,compra pintura
Muebles,Vivienda,3388.87,muebles
*muebles*,Vivienda,2960.14,muebles
muebles para casa,Vivienda,3000.00,muebles para casa
compra muebles,Vivienda,2800.00,compra muebles
pago con tarjeta en muebles,Vivienda,2259.08,pago con tarjeta en muebles
pago con tarjeta en muebles,Vivienda,2735.45,pago con tarjeta en muebles
pago muebles,Vivienda,1735.43,pago muebles
muebles de sala,Vivienda,2800.00,muebles de sala
compra de cama,Vivienda,2500.00,compra de cama
pago cama,Vivienda,2300.00,pago cama
colchon,Vivienda,2000.00,colchon
compra colchon,Vivienda,2200.00,compra colchon
trastes de cocina,Vivienda,800.00,trastes de cocina
compra trastes,Vivienda,700.00,compra trastes
vajilla,Vivienda,600.00,vajilla
compra vajilla,Vivienda,650.00,compra vajilla
sartenes,Vivienda,400.00,sartenes
ollas,Vivienda,500.00,ollas
cubiertos,Vivienda,300.00,cubiertos
compra cubiertos,Vivienda,280.00,compra cubiertos
lavadora,Vivienda,4000.00,lavadora
secadora,Vivienda,3500.00,secadora
refrigerador,Vivienda,4500.00,refrigerador
estufa,Vivienda,3000.00,estufa
microondas,Vivienda,1500.00,microondas
licuadora,Vivienda,600.00,licuadora
tostador,Vivienda,300.00,tostador
cafetera,Vivienda,500.00,cafetera
aspiradora,Vivienda,800.00,aspiradora
plancha,Vivienda,400.00,plancha
ventilador,Vivienda,350.00,ventilador
calentador,Vivienda,1200.00,calentador
comedor,Vivienda,2200.00,comedor
escritorio,Vivienda,1500.00,escritorio
silla de oficina,Vivienda,1200.00,silla de oficina
estanteria,Vivienda,900.00,estanteria
*electrodomesticos*,Vivienda,3628.15,electrodomesticos
ELECTRODOMESTICOS,Vivienda,2492.23,electrodomesticos
*electrodomesticos*,Vivienda,3760.33,electrodomesticos
*electrodomesticos*,Vivienda,2034.91,electrodomesticos
ELECTRODOMESTICOS,Vivienda,3214.49,electrodomesticos
$colchon,Vivienda,3102.74,colchon
*colchon*,Vivienda,3976.8,colchon
colchon,Vivienda,885.46,colchon
compra colchon,Vivienda,3180.88,compra colchon
pago con tarjeta en colchon,Vivienda,1955.17,pago con tarjeta en colchon
$cortinas,Vivienda,2097.48,cortinas
cortinas,Vivienda,2490.84,cortinas
pago cortinas,Vivienda,3513.21,pago cortinas
Cortinas,Vivienda,1720.16,cortinas
COMPRA EN CORTINAS,Vivienda,3428.95,compra en cortinas
$seguro hogar,Vivienda,1538.73,seguro hogar
SEGURO HOGAR,Vivienda,1356.46,seguro hogar
pago seguro hogar,Vivienda,4973.63,pago seguro hogar
pago seguro hogar,Vivienda,2133.25,pago seguro hogar
SEGURO HOGAR,Vivienda,3787.93,seguro hogar
predial,Vivienda,770.64,predial
predial,Vivienda,4827.5,predial
pago con tarjeta en predial,Vivienda,1267.15,pago con tarjeta en predial
pago con tarjeta en predial,Vivienda,4198.13,pago con tarjeta en predial
compra predial,Vivienda,1853.84,compra predial
COMPRA EN BASURA,Vivienda,4079.52,compra en basura
*basura*,Vivienda,2296.92,basura
COMPRA EN BASURA,Vivienda,590.12,compra en basura
basura,Vivienda,4671.5,basura
compra basura,Vivienda,4289.15,compra basura
Jardineria,Vivienda,918.18,jardineria
$jardineria,Vivienda,901.06,jardineria
*jardineria*,Vivienda,4391.09,jardineria
Jardineria,Vivienda,4217.3,jardineria
$jardineria,Vivienda,1216.87,jardineria
izzi,Vivienda,1864.08,izzi
pago Izzi,Vivienda,2037.54,pago izzi
pago con tarjeta en Izzi,Vivienda,894.39,pago con tarjeta en izzi
pago con tarjeta en Izzi,Vivienda,2992.11,pago con tarjeta en izzi
IZZI,Vivienda,2286.42,izzi
*Totalplay*,Vivienda,4740.74,totalplay
pago Totalplay,Vivienda,2820.56,pago totalplay
TOTALPLAY,Vivienda,4038.24,totalplay
$Totalplay,Vivienda,3049.59,totalplay
totalplay,Vivienda,1438.3,totalplay
compra Telmex,Vivienda,1023.65,compra telmex
pago Telmex,Vivienda,3325.78,pago telmex
COMPRA EN TELMEX,Vivienda,2896.17,compra en telmex
$Telmex,Vivienda,1135.75,telmex
*Telmex*,Vivienda,1871.06,telmex
pago con tarjeta en Megacable,Vivienda,1951.38,pago con tarjeta en megacable
MEGACABLE,Vivienda,1280.86,megacable
pago Megacable,Vivienda,1506.26,pago megacable
megacable,Vivienda,3078.69,megacable
pago con tarjeta en Megacable,Vivienda,3088.24,pago con tarjeta en megacable
$Naturgy,Vivienda,1911.77,naturgy
compra Naturgy,Vivienda,3228.14,compra naturgy
$Naturgy,Vivienda,4232.0,naturgy
naturgy,Vivienda,2761.55,naturgy
pago con tarjeta en Naturgy,Vivienda,4213.4,pago con tarjeta en naturgy
Gas Natural,Vivienda,1047.93,gas natural
Gas Natural,Vivienda,616.15,gas natural
pago con tarjeta en Gas Natural,Vivienda,1546.48,pago con tarjeta en gas natural
gas natural,Vivienda,2477.8,gas natural
$Gas Natural,Vivienda,501.5,gas natural
pago cilindro de gas,Vivienda,3425.9,pago cilindro de gas
CILINDRO DE GAS,Vivienda,2239.07,cilindro de gas
Cilindro De Gas,Vivienda,4013.43,cilindro de gas
pago con tarjeta en cilindro de gas,Vivienda,761.74,pago con tarjeta en cilindro de gas
pago cilindro de gas,Vivienda,760.01,pago cilindro de gas
COMPRA EN GAS LP,Vivienda,1838.1,compra en gas lp
*gas lp*,Vivienda,1576.31,gas lp
GAS LP,Vivienda,835.83,gas lp
GAS LP,Vivienda,1299.95,gas lp
compra gas lp,Vivienda,2792.4,compra gas lp
*Home Depot*,Vivienda,1530.03,home depot
Home Depot,Vivienda,3268.49,home depot
home depot,Vivienda,1281.89,home depot
home depot,Vivienda,2871.69,home depot
*Home Depot*,Vivienda,3759.43,home depot
Sodimac,Vivienda,4489.72,sodimac
SODIMAC,Vivienda,2154.92,sodimac
$Sodimac,Vivienda,4223.92,sodimac
Sodimac,Vivienda,2241.85,sodimac
Sodimac,Vivienda,549.64,sodimac
pago IKEA,Vivienda,1102.12,pago ikea
Ikea,Vivienda,586.37,ikea
Ikea,Vivienda,3921.3,ikea
COMPRA EN IKEA,Vivienda,2908.9,compra en ikea
compra IKEA,Vivienda,1955.75,compra ikea
pago Elektra,Vivienda,3331.84,pago elektra
Elektra,Vivienda,4106.92,elektra
elektra,Vivienda,2171.34,elektra
compra Elektra,Vivienda,2965.82,compra elektra
Elektra,Vivienda,4299.61,elektra
*Coppel*,Vivienda,1171.57,coppel
coppel,Vivienda,4390.97,coppel
pago Coppel,Vivienda,2642.08,pago coppel
pago con tarjeta en Coppel,Vivienda,3263.37,pago con tarjeta en coppel
$Coppel,Vivienda,2265.77,coppel
compra ferreteria,Vivienda,4799.01,compra ferreteria
compra ferreteria,Vivienda,3464.11,compra ferreteria
pago con tarjeta en ferreteria,Vivienda,3596.61,pago con tarjeta en ferreteria
compra ferreteria,Vivienda,4283.92,compra ferreteria
COMPRA EN FERRETERIA,Vivienda,2576.65,compra en ferreteria
*cerrajero*,Vivienda,3467.09,cerrajero
$cerrajero,Vivienda,3365.01,cerrajero
compra cerrajero,Vivienda,799.93,compra cerrajero
COMPRA EN CERRAJERO,Vivienda,4471.07,compra en cerrajero
Cerrajero,Vivienda,3818.45,cerrajero
compra fumigacion,Vivienda,2494.73,compra fumigacion
COMPRA EN FUMIGACION,Vivienda,687.53,compra en fumigacion
pago con tarjeta en fumigacion,Vivienda,3857.93,pago con tarjeta en fumigacion
compra fumigacion,Vivienda,824.38,compra fumigacion
COMPRA EN FUMIGACION,Vivienda,974.15,compra en fumigacion
compra vigilancia,Vivienda,4804.26,compra vigilancia
Vigilancia,Vivienda,2244.18,vigilancia
vigilancia,Vivienda,2073.66,vigilancia
VIGILANCIA,Vivienda,3476.17,vigilancia
VIGILANCIA,Vivienda,1283.49,vigilancia
Seguridad Privada,Vivienda,2973.27,seguridad privada
$seguridad privada,Vivienda,3939.68,seguridad privada
$seguridad privada,Vivienda,871.78,seguridad privada
compra seguridad privada,Vivienda,1829.5,compra seguridad privada
COMPRA EN SEGURIDAD PRIVADA,Vivienda,3310.99,compra en seguridad privada
pago administracion condominios,Vivienda,3503.08,pago administracion condominios
ADMINISTRACION CONDOMINIOS,Vivienda,1046.24,administracion condominios
administracion condominios,Vivienda,3985.85,administracion condominios
pago con tarjeta en administracion condominios,Vivienda,4819.22,pago con tarjeta en administracion condominios
*administracion condominios*,Vivienda,688.78,administracion condominios
pago cuota de mantenimiento,Vivienda,1949.97,pago cuota de mantenimiento
cuota de mantenimiento,Vivienda,1817.7,cuota de mantenimiento
COMPRA EN CUOTA DE MANTENIMIENTO,Vivienda,1012.8,compra en cuota de mantenimiento
Cuota De Mantenimiento,Vivienda,4641.34,cuota de mantenimiento
pago cuota de mantenimiento,Vivienda,1076.43,pago cuota de mantenimiento
compra Infanavit,Vivienda,4676.38,compra infanavit
*Infanavit*,Vivienda,927.55,infanavit
COMPRA EN INFANAVIT,Vivienda,2444.35,compra en infanavit
pago con tarjeta en Infanavit,Vivienda,1236.58,pago con tarjeta en infanavit
infanavit,Vivienda,1583.12,infanavit
Fovissste,Vivienda,3541.92,fovissste
FOVISSSTE,Vivienda,4491.16,fovissste
COMPRA EN FOVISSSTE,Vivienda,4965.87,compra en fovissste
*Fovissste*,Vivienda,4456.71,fovissste
pago con tarjeta en Fovissste,Vivienda,2948.07,pago con tarjeta en fovissste
Articulo De Limpieza,Vivienda,3897.69,articulo de limpieza
Articulo De Limpieza,Vivienda,4902.79,articulo de limpieza
COMPRA EN ARTICULO DE LIMPIEZA,Vivienda,3010.16,compra en articulo de limpieza
*articulo de limpieza*,Vivienda,3452.73,articulo de limpieza
$articulo de limpieza,Vivienda,3889.34,articulo de limpieza
pago con tarjeta en detergente,Vivienda,4718.25,pago con tarjeta en detergente
pago detergente,Vivienda,985.75,pago detergente
Detergente,Vivienda,3766.91,detergente
pago detergente,Vivienda,1460.8,pago detergente
DETERGENTE,Vivienda,1178.04,detergente
$lavadora,Vivienda,2940.07,lavadora
compra lavadora,Vivienda,2787.62,compra lavadora
$lavadora,Vivienda,3042.6,lavadora
*lavadora*,Vivienda,3097.28,lavadora
pago con tarjeta en lavadora,Vivienda,3925.05,pago con tarjeta en lavadora
COMPRA EN REFRIGERADOR,Vivienda,2577.01,compra en refrigerador
COMPRA EN REFRIGERADOR,Vivienda,1610.05,compra en refrigerador
Refrigerador,Vivienda,4466.53,refrigerador
refrigerador,Vivienda,946.3,refrigerador
pago refrigerador,Vivienda,1418.16,pago refrigerador
Microondas,Vivienda,3798.82,microondas
*microondas*,Vivienda,3267.4,microondas
pago microondas,Vivienda,2099.23,pago microondas
pago con tarjeta en microondas,Vivienda,2994.02,pago con tarjeta en microondas
$microondas,Vivienda,4316.22,microondas
$alquiler,Vivienda,3922.60,alquiler
Alquiler,Vivienda,3430.20,alquiler
*alquiler*,Vivienda,2966.30,alquiler
alquiler de casa,Vivienda, 5525.20,alquiler de casa
pago de alquiler,Vivienda,4800.00,pago de alquiler
alquiler departamento,Vivienda,5500.00,alquiler departamento
pago alquiler casa,Vivienda,6200.50,pago alquiler casa
alquiler mensual,Vivienda,5100.00,alquiler mensual
deposito alquiler,Vivienda,5000.00,deposito alquiler
alquiler de departamento,Vivienda,5100.00,alquiler de departamento
alquiler de casa,Vivienda,3352.08,alquiler de casa
compra de departamento,Vivienda,500000.00,compra de departamento
departamento,Vivienda,450000.00,departamento
compra de casa,Vivienda,600000.00,compra de casa
casa,Vivienda,550000.00,casa
pago de departamento,Vivienda,400000.00,pago de departamento
pago de casa,Vivienda,500000.00,pago de casa
compra de vivienda,Vivienda,480000.00,compra de vivienda
vivienda,Vivienda,420000.00,vivienda
departamento en renta,Vivienda,5500.00,departamento en renta
casa en renta,Vivienda,6000.00,casa en renta
renta de departamento,Vivienda,5200.00,renta de departamento
renta de casa,Vivienda,5800.00,renta de casa
pago de renta,Vivienda,5000.00,pago de renta
alquiler de departamento,Vivienda,5100.00,alquiler de departamento
alquiler de casa,Vivienda,5600.00,alquiler de casa
pago de alquiler,Vivienda,4900.00,pago de alquiler
pago de hipoteca,Vivienda,8000.00,pago de hipoteca
hipoteca,Vivienda,7500.00,hipoteca
pago de vivienda,Vivienda,7000.00,pago de vivienda
cuota de vivienda,Vivienda,6500.00,cuota de vivienda
pago de predial,Vivienda,2000.00,pago de predial
predial,Vivienda,1800.00,predial
impuesto predial,Vivienda,2200.00,impuesto predial
servicios de vivienda,Vivienda,1500.00,servicios de vivienda
mantenimiento de vivienda,Vivienda,1200.00,maintenimiento de vivienda
reparacion de vivienda,Vivienda,1000.00,reparacion de vivienda
remodelacion de casa,Vivienda,15000.00,remodelacion de casa
construccion,Vivienda,30000.00,construccion
materiales de construccion,Vivienda,5000.00,materiales de construccion
pago de construccion,Vivienda,5800.00,pago de construccion
Pago de Construccion,Vivienda,5400.50,pago de construccion
compra de terreno,Vivienda,200000.00,compra de terreno
terreno,Vivienda,180000.00,terreno
$colegio,Educación,1682.09,colegio
pago con tarjeta en colegio,Educación,1920.34,pago con tarjeta en colegio
pago con tarjeta en colegio,Educación,1388.92,pago con tarjeta en colegio
COLEGIO,Educación,1699.74,colegio
$colegio,Educación,1765.64,colegio
kinder,Educación,1500.00,kinder
jardin de ninos,Educación,1200.00,jardin de ninos
jardin infantil,Educación,1100.00,jardin infantil
guarderia,Educación,1800.00,guarderia
guarderia infantil,Educación,1600.00,guarderia infantil
estancia infantil,Educación,1400.00,estancia infantil
preescolar,Educación,1300.00,preescolar
certificado de estudios,Educación,800.00,certificado de estudios
certificado de secundaria,Educación,700.00,certificado de secundaria
certificado de preparatoria,Educación,750.00,certificado de preparatoria
certificado profesional,Educación,900.00,certificado profesional
posgrado,Educación,5000.00,posgrado
Posgrado,Educación,5500.00,posgrado
maestria,Educación,6000.00,maestria
maestria,Educación,5600.00,maestria
doctorado,Educación,8000.00,doctorado
Doctorado,Educación,8800.00,doctorado
carrera de ingenieria,Educación,7000.00,carrera de ingenieria
carrera de arquitectura,Educación,7000.00,carrera de arquitectura
ingenieria,Educación,6500.00,ingenieria
pago de carrera,Educación,5500.00,pago de carrera
colegiatura,Educación,4000.00,colegiatura
colegiatura universitaria,Educación,4500.00,colegiatura universitaria
universidad,Educación,5000.00,universidad
preparatoria,Educación,3000.00,preparatoria
secundaria,Educación,2000.00,secundaria
primaria,Educación,1500.00,primaria
escuela primaria,Educación,1400.00,escuela primaria
escuela secundaria,Educación,1800.00,escuela secundaria
escuela preparatoria,Educación,2500.00,escuela preparatoria
instituto tecnológico,Educación,5500.00,instituto tecnológico
Cursos de idiomas,Educación,1200.00,cursos de idiomas
ingles,Educación,1000.00,ingles
frances,Educación,1100.00,frances
aleman,Educación,1200.00,aleman
cursos de computacion,Educación,800.00,cursos de computacion
taller de arte,Educación,600.00,taller de arte
taller de musica,Educación,700.00,taller de musica
taller de teatro,Educación,650.00,taller de teatro
clases particulares,Educación,500.00,clases particulares
tutorias,Educación,400.00,tutorias
material escolar,Educación,300.00,material escolar
libros de universidad,Educación,500.00,libros de universidad
Universidad,Educación,336.96,universidad
universidad,Educación,1471.93,universidad
COMPRA EN UNIVERSIDAD,Educación,512.7,compra en universidad
Universidad,Educación,1359.78,universidad
$universidad,Educación,1421.67,universidad
escuela,Educación,500.50,escuela
Escuela,Educación,380.50,escuela
Kinder,Educación,400.50,kinder
kinder,Educación,450.00,kinder
Primaria,Educación,500.00,primaria
escuela primaria,Educación,450.00,escuela primaria
jardin de ninos,Educación,400.00,jardin de ninos
Jardin de Ninos,Educación,540.50,jardin de ninos
taller de arte,Educación,400.00,taller de arte
taller de cocina,Educación,450.00,taller de cocina
Cursos,Educación,155.24,cursos
cursos,Educación,444.51,cursos
cursos,Educación,864.42,cursos
*cursos*,Educación,1013.85,cursos
CURSOS,Educación,223.22,cursos
*libros*,Educación,1435.59,libros
COMPRA EN LIBROS,Educación,1246.63,compra en libros
pago libros,Educación,1238.8,pago libros
LIBROS,Educación,612.66,libros
LIBROS,Educación,1046.69,libros
CUADERNOS,Educación,211.25,cuadernos
$cuadernos,Educación,498.7,cuadernos
cuadernos,Educación,1082.81,cuadernos
cuadernos,Educación,332.52,cuadernos
compra cuadernos,Educación,924.64,compra cuadernos
pago lapiceros,Educación,805.7,pago lapiceros
compra lapiceros,Educación,1236.63,compra lapiceros
pago con tarjeta en lapiceros,Educación,1872.92,pago con tarjeta en lapiceros
compra lapiceros,Educación,900.37,compra lapiceros
lapiceros,Educación,1042.72,lapiceros
$mochila,Educación,1983.14,mochila
*mochila*,Educación,1186.56,mochila
Mochila,Educación,450.5,mochila
pago mochila,Educación,414.06,pago mochila
compra mochila,Educación,1213.04,compra mochila
$computadora,Educación,618.83,computadora
compra computadora,Educación,1866.27,compra computadora
COMPUTADORA,Educación,1887.29,computadora
COMPUTADORA,Educación,916.35,computadora
COMPUTADORA,Educación,816.14,computadora
Tablet,Educación,1013.72,tablet
Tablet,Educación,970.56,tablet
Tablet,Educación,1441.44,tablet
tablet,Educación,194.7,tablet
*tablet*,Educación,1043.28,tablet
compra pizarron,Educación,1582.4,compra pizarron
pizarron,Educación,1554.47,pizarron
$pizarron,Educación,527.93,pizarron
pago con tarjeta en pizarron,Educación,1527.61,pago con tarjeta en pizarron
COMPRA EN PIZARRON,Educación,996.91,compra en pizarron
Tutorias,Educación,231.02,tutorias
$tutorias,Educación,597.24,tutorias
TUTORIAS,Educación,623.66,tutorias
COMPRA EN TUTORIAS,Educación,1952.19,compra en tutorias
$tutorias,Educación,914.89,tutorias
pago con tarjeta en ingles,Educación,1575.75,pago con tarjeta en ingles
pago con tarjeta en ingles,Educación,1026.39,pago con tarjeta en ingles
COMPRA EN INGLES,Educación,188.35,compra en ingles
pago ingles,Educación,1822.23,pago ingles
pago con tarjeta en ingles,Educación,757.25,pago con tarjeta en ingles
pago computacion,Educación,881.08,pago computacion
*computacion*,Educación,264.21,computacion
pago computacion,Educación,1491.65,pago computacion
computacion,Educación,343.18,computacion
*computacion*,Educación,847.55,computacion
COMPRA EN ARTE,Educación,594.3,compra en arte
pago con tarjeta en arte,Educación,1039.51,pago con tarjeta en arte
Arte,Educación,587.41,arte
ARTE,Educación,1477.8,arte
Arte,Educación,1174.13,arte
MUSICA,Educación,686.53,musica
Musica,Educación,1256.2,musica
pago con tarjeta en musica,Educación,447.73,pago con tarjeta en musica
compra musica,Educación,387.37,compra musica
musica,Educación,894.18,musica
pago con tarjeta en deporte,Educación,1716.17,pago con tarjeta en deporte
*deporte*,Educación,1135.7,deporte
COMPRA EN DEPORTE,Educación,318.06,compra en deporte
pago deporte,Educación,867.56,pago deporte
pago con tarjeta en deporte,Educación,1604.23,pago con tarjeta en deporte
compra actividades,Educación,1132.72,compra actividades
$actividades,Educación,529.68,actividades
pago actividades,Educación,1020.92,pago actividades
Actividades,Educación,367.82,actividades
$actividades,Educación,1714.95,actividades
pago excursiones,Educación,285.37,pago excursiones
EXCURSIONES,Educación,1336.85,excursiones
$excursiones,Educación,652.12,excursiones
COMPRA EN EXCURSIONES,Educación,312.68,compra en excursiones
EXCURSIONES,Educación,198.72,excursiones
material didactico,Educación,300.00,material didactico
compra material,Educación,482.59,compra material
*material*,Educación,1757.06,material
material,Educación,1537.83,material
$material,Educación,134.1,material
COMPRA EN MATERIAL,Educación,1767.88,compra en material
$uniforme,Educación,407.08,uniforme
pago con tarjeta en uniforme,Educación,1164.35,pago con tarjeta en uniforme
compra uniforme,Educación,151.62,compra uniforme
pago con tarjeta en uniforme,Educación,278.89,pago con tarjeta en uniforme
UNIFORME,Educación,1827.52,uniforme
compra colegiatura,Educación,842.38,compra colegiatura
COLEGIATURA,Educación,300.4,colegiatura
colegiatura,Educación,958.22,colegiatura
pago colegiatura,Educación,277.48,pago colegiatura
Colegiatura,Educación,1932.51,colegiatura
COMPRA EN INSCRIPCION,Educación,454.77,compra en inscripcion
COMPRA EN INSCRIPCION,Educación,645.56,compra en inscripcion
pago con tarjeta en inscripcion,Educación,1197.43,pago con tarjeta en inscripcion
Inscripcion,Educación,693.46,inscripcion
pago con tarjeta en inscripcion,Educación,852.34,pago con tarjeta en inscripcion
COMPRA EN REINSCRIPCION,Educación,1088.36,compra en reinscripcion
reinscripcion,Educación,1159.86,reinscripcion
pago reinscripcion,Educación,701.85,pago reinscripcion
REINSCRIPCION,Educación,789.89,reinscripcion
pago reinscripcion,Educación,420.82,pago reinscripcion
$tramite escolar,Educación,367.35,tramite escolar
compra tramite escolar,Educación,163.43,compra tramite escolar
COMPRA EN TRAMITE ESCOLAR,Educación,1798.58,compra en tramite escolar
Tramite Escolar,Educación,936.61,tramite escolar
$tramite escolar,Educación,1938.74,tramite escolar
DIPLOMADO,Educación,1776.59,diplomado
*diplomado*,Educación,1937.54,diplomado
*diplomado*,Educación,332.62,diplomado
pago diplomado,Educación,415.31,pago diplomado
$diplomado,Educación,1961.59,diplomado
*maestria*,Educación,346.67,maestria
Maestria,Educación,1163.54,maestria
compra maestria,Educación,155.79,compra maestria
maestria,Educación,1791.49,maestria
Maestria,Educación,1949.57,maestria
pago de titulo,Educación,2000.00,pago de titulo
titulo universitario,Educación,2500.00,titulo universitario
tramite de titulo,Educación,1800.00,tramite de titulo
pago titulo profesional,Educación,2200.00,pago titulo profesional
certificado profesional,Educación,800.00,certificado profesional
pago certificado,Educación,750.00,pago certificado
certificacion,Educación,1000.00,certificacion
pago con tarjeta en certificacion,Educación,1656.22,pago con tarjeta en certificacion
pago certificacion,Educación,310.42,pago certificacion
pago con tarjeta en certificacion,Educación,995.22,pago con tarjeta en certificacion
pago con tarjeta en certificacion,Educación,779.82,pago con tarjeta en certificacion
pago certificacion,Educación,1656.58,pago certificacion
Udemy,Educación,314.59,udemy
compra Udemy,Educación,555.76,compra udemy
udemy,Educación,1820.18,udemy
UDEMY,Educación,955.67,udemy
pago con tarjeta en Udemy,Educación,927.46,pago con tarjeta en udemy
$Coursera,Educación,1502.33,coursera
COURSERA,Educación,159.12,coursera
pago Coursera,Educación,717.7,pago coursera
COMPRA EN COURSERA,Educación,107.25,compra en coursera
*Coursera*,Educación,417.55,coursera
platzi,Educación,531.64,platzi
COMPRA EN PLATZI,Educación,238.07,compra en platzi
PLATZI,Educación,1418.89,platzi
pago con tarjeta en Platzi,Educación,509.51,pago con tarjeta en platzi
Platzi,Educación,163.06,platzi
Domestika,Educación,875.78,domestika
domestika,Educación,1882.78,domestika
compra Domestika,Educación,1555.52,compra domestika
DOMESTIKA,Educación,212.28,domestika
pago Domestika,Educación,1336.46,pago domestika
$Libreria Gandhi,Educación,1374.39,libreria gandhi
*Libreria Gandhi*,Educación,421.25,libreria gandhi
pago Libreria Gandhi,Educación,949.41,pago libreria gandhi
$Libreria Gandhi,Educación,530.79,libreria gandhi
Libreria Gandhi,Educación,1138.63,libreria gandhi
EL SOTANO,Educación,884.25,el sotano
el sotano,Educación,134.2,el sotano
COMPRA EN EL SOTANO,Educación,1505.82,compra en el sotano
$El Sotano,Educación,632.07,el sotano
pago con tarjeta en El Sotano,Educación,655.21,pago con tarjeta en el sotano
PORRUA,Educación,1669.47,porrua
PORRUA,Educación,1629.32,porrua
porrua,Educación,1965.42,porrua
pago con tarjeta en Porrua,Educación,679.03,pago con tarjeta en porrua
*Porrua*,Educación,1112.08,porrua
