descripcion,categoria,monto
$zoologico,Ocio y Servicios,496.49
pago con tarjeta en zoologico,Ocio y Servicios,705.5
compra zoologico,Ocio y Servicios,934.08
zoologico,Ocio y Servicios,649.38
COMPRA EN ZOOLOGICO,Ocio y Servicios,177.56
pago museo,Ocio y Servicios,336.82
pago museo,Ocio y Servicios,279.8
Museo,Ocio y Servicios,964.19
$museo,Ocio y Servicios,310.97
$museo,Ocio y Servicios,772.81
STREAMING,Ocio y Servicios,207.46
COMPRA EN STREAMING,Ocio y Servicios,248.73
compra streaming,Ocio y Servicios,180.15
pago streaming,Ocio y Servicios,861.1
$streaming,Ocio y Servicios,153.45
discord,Ocio y Servicios,953.86
COMPRA EN DISCORD,Ocio y Servicios,726.14
pago con tarjeta en Discord,Ocio y Servicios,258.16
Discord,Ocio y Servicios,465.15
DISCORD,Ocio y Servicios,217.29
$barberia,Ocio y Servicios,230.6
pago consulta medica,Salud,1077.64
pago audiologia,Salud,1453.87
COMPRA EN CHATGPT,Educación,1568.87
compra refrigerador,Vivienda,2562.06
COMPRA EN TIENDITA,Alimentación,622.68
pago con tarjeta en inscripcion,Educación,1687.27
Fumigacion,Vivienda,1499.34
pago administracion condominios,Vivienda,2816.08
Farmacias Similares,Salud,444.13
cursos,Educación,648.88
ULTRASONIDO,Salud,792.55
*Starbucks*,Alimentación,328.79
Basura,Vivienda,646.78
compra termometro,Salud,1202.57
gas lp,Vivienda,3082.29
compra Magna,Transporte,135.39
bp,Transporte,68.87
pago con tarjeta en caseta,Transporte,38.69
compra Uber,Transporte,91.13
licencia software,Educación,1205.08
FARMACIAS DEL AHORRO,Salud,556.87
*ginecologo*,Salud,1351.73
Refaccionaria,Transporte,221.34
totalplay,Vivienda,2738.93
COMPRA EN DETERGENTE,Vivienda,1337.61
*Monterrey*,Salud,145.93
youtube premium,Ocio y Servicios,330.48
compra gasa,Salud,673.18
aparato ortopedico,Salud,1071.07
MAGNA,Transporte,267.52
Neveria,Alimentación,261.85
Cuadernos,Educación,1554.54
$deposito,Alimentación,90.98
*refaccionaria*,Transporte,117.72
UNIFORME,Educación,1777.2
six flags,Ocio y Servicios,968.5
discord,Ocio y Servicios,754.8
*computacion*,Educación,1258.3
pago con tarjeta en unas,Ocio y Servicios,290.17
pago con tarjeta en fisioterapia,Salud,619.32
$MetLife,Salud,668.05
$Cinepolis,Ocio y Servicios,611.11
*OXXO*,Alimentación,458.37
pago Urbano,Transporte,394.7
$7-Eleven,Alimentación,248.99
microondas,Vivienda,3344.72
Farmacias Del Ahorro,Salud,243.52
COSTCO,Alimentación,326.96
pago jugueria,Alimentación,572.91
compra seguro,Salud,270.84
pago con tarjeta en taller mecanico,Transporte,151.55
pago con tarjeta en lentes,Salud,583.48
plaza,Ocio y Servicios,199.46
*pasticceria*,Alimentación,461.98
soriana,Alimentación,639.65
compra seguro hogar,Vivienda,613.37
COMPRA EN FERRETERIA,Vivienda,4088.96
pago tacos,Alimentación,378.25
TELMEX,Vivienda,3677.87
COMPRA EN PASTICCERIA,Alimentación,88.75
$Bodega Aurrera,Alimentación,138.87
TINTORERIA,Ocio y Servicios,426.73
pago con tarjeta en Mas Vision,Salud,320.18
*articulo de limpieza*,Vivienda,1924.47
pago con tarjeta en Discord,Ocio y Servicios,806.85
pago concierto,Ocio y Servicios,841.19
pediatra,Salud,1043.63
compra Elektra,Vivienda,589.08
Tutorias,Educación,770.62
compra Comer,Alimentación,372.91
Muebles,Vivienda,807.59
pago estudios medicos,Salud,705.87
Farmacias Similares,Salud,200.96
*Six Flags*,Ocio y Servicios,947.23
$uniforme,Educación,1493.62
TICKETMASTER,Ocio y Servicios,796.01
COMPRA EN UNIFORME,Educación,625.01
pago con tarjeta en Autozone,Transporte,25.51
compra Nintendo Switch,Ocio y Servicios,147.97
pago con tarjeta en Premium,Transporte,374.18
pago con tarjeta en combi,Transporte,118.13
*pollo asado*,Alimentación,248.21
pago con tarjeta en Cablebus,Transporte,375.28
$Indrive,Transporte,484.9
$termometro,Salud,195.67
deposito,Alimentación,499.28
pago ferreteria,Vivienda,1703.31
MOTOTAXI,Transporte,199.16
pago con tarjeta en rayos x,Salud,1089.28
cantarito,Ocio y Servicios,287.05
g500,Transporte,474.43
Pemex,Transporte,473.47
Discord,Ocio y Servicios,242.5
pago estetica,Ocio y Servicios,404.88
compra Udemy,Educación,129.25
compra internet,Vivienda,2938.96
farmacia,Salud,1116.02
$cerveceria,Ocio y Servicios,978.16
pago fruteria,Alimentación,607.12
tren ligero,Transporte,379.22
fresko,Alimentación,375.8
CITY MARKET,Alimentación,492.09
pago con tarjeta en El Globo,Alimentación,553.01
COMPRA EN COMBI,Transporte,333.92
reinscripcion,Educación,126.12
Krispy Kreme,Alimentación,107.86
pago refaccionaria,Transporte,371.71
pago Mexibus,Transporte,198.66
$metro,Transporte,203.98
COMPRA EN PINTURA,Vivienda,1401.27
compra refrendo,Transporte,141.61
COMPRA EN GNP,Salud,195.84
pago con tarjeta en Tren Suburbano,Transporte,118.98
*Farmacias Benavides*,Salud,476.39
$Elektra,Vivienda,4369.21
pago pesero,Transporte,322.52
COMPRA EN JERINGAS,Salud,719.56
Fovissste,Vivienda,4027.94
$Cablebus,Transporte,396.85
combustible,Transporte,303.31
$Plagium,Educación,153.79
compra electrodomesticos,Vivienda,3939.98
pago masaje,Ocio y Servicios,438.34
Masaje,Ocio y Servicios,202.44
Pizarron,Educación,1518.88
axa,Salud,724.68
compra CFE,Vivienda,1894.13
COMPRA EN GAS NATURAL,Vivienda,2990.21
comida corrida,Alimentación,704.48
*regularizacion*,Educación,1910.35
compra lavadora,Vivienda,2775.35
Pasticceria,Alimentación,727.67
DISCORD,Ocio y Servicios,381.45
Deposito,Alimentación,557.71
*pollo asado*,Alimentación,396.38
pago con tarjeta en Cinemex,Ocio y Servicios,202.35
reinscripcion,Educación,536.24
*actividades*,Educación,103.79
$tenencia,Transporte,398.93
$Cinemex,Ocio y Servicios,129.38
EL GLOBO,Alimentación,231.15
BOLETOS DE AUTOBUS,Transporte,126.73
*Pollo Feliz*,Alimentación,93.3
$lavanderia,Ocio y Servicios,258.58
COMPRA EN TELMEX,Vivienda,4938.11
compra tamales,Alimentación,371.71
COMPRA EN DENTISTA,Salud,1083.0
pago Starbucks,Alimentación,295.66
pago colegio,Educación,142.07
*Coursera*,Educación,371.4
*Tren Suburbano*,Transporte,74.86
ETN,Transporte,118.07
Cafeteria,Alimentación,632.37
pago con tarjeta en belleza,Ocio y Servicios,689.58
Optometria,Salud,410.66
pago con tarjeta en autopista,Transporte,371.03
pago con tarjeta en supermercado,Alimentación,705.63
SUSHI,Alimentación,264.13
NINTENDO SWITCH,Ocio y Servicios,829.57
CINNABON,Alimentación,60.03
pago con tarjeta en Steam,Ocio y Servicios,813.36
pago Monterrey,Salud,193.76
pago con tarjeta en suscripcion,Ocio y Servicios,755.93
pago detergente,Vivienda,2189.61
musica,Educación,1994.65
DEVLYN,Salud,408.16
COMPRA EN GIMNASIO,Ocio y Servicios,115.28
evento,Ocio y Servicios,93.05
pago analisis clinicos,Salud,1026.36
pago panaderia,Alimentación,629.61
COMPRA EN RAPPI,Alimentación,369.55
*tenencia*,Transporte,345.19
CORTINAS,Vivienda,3520.21
*gas lp*,Vivienda,3481.18
compra gas,Vivienda,1662.04
farmacias del ahorro,Salud,1293.62
$inscripcion,Educación,833.8
pago aparato ortopedico,Salud,694.79
compra reparacion,Vivienda,3131.01
PEAJE,Transporte,414.48
compra Urbano,Transporte,150.53
SIX FLAGS,Ocio y Servicios,942.12
Cine,Ocio y Servicios,709.91
certificacion,Educación,1665.16
Taller Mecanico,Transporte,411.17
*IKEA*,Vivienda,4924.88
fumigacion,Vivienda,2157.56
compra telefono,Vivienda,2587.96
Suscripcion,Ocio y Servicios,894.04
pago regularizacion,Educación,1589.17
COMPRA EN KRISPY KREME,Alimentación,293.97
COMPRA EN MOCHILA,Educación,1366.87
COMPRA EN DID,Transporte,139.52
masaje,Ocio y Servicios,907.94
DOMESTIKA,Educación,1995.49
compra dermatologo,Salud,1445.62
FARMACIAS DEL AHORRO,Salud,668.42
Zoologico,Ocio y Servicios,270.42
COMPRA EN EPIC GAMES,Ocio y Servicios,642.56
